Action,User,,,Event Start,Event End,Date of Edit,Time of Edit
Event Created, Timothy, EventID: 8fc9329f-a37e-af4b-bf78-b387e7419857, EventName: Class, EventStart: 2021-04-13T10:00:00, EventEnd: 2021-04-13T16:30:00, 2021-04-15, 05:28:31am
Event Edit, Timothy, EventID: 57, NewEventStart: 2021-04-12T10:00:00, NewEventEnd: 2021-04-12T16:30:00, 2021-04-15, 05:28:35am,
Event Edit, Timothy, EventID: 57, NewEventStart: 2021-04-13T10:00:00, NewEventEnd: 2021-04-13T16:30:00, 2021-04-15, 05:28:36am,
Event Edit, Timothy, EventID: 57, NewEventStart: 2021-04-13T10:00:00, NewEventEnd: 2021-04-13T18:00:00, 2021-04-15, 05:28:39am,
Event Edit, Timothy, EventID: 57, NewEventStart: 2021-04-13T10:00:00, NewEventEnd: 2021-04-13T15:30:00, 2021-04-15, 05:28:41am,
Event Created, Timothy, EventID: 72423d67-4c68-2e39-1bad-8c70bbfb176e, EventName: Studying , EventStart: 2021-04-14T09:30:00, EventEnd: 2021-04-14T17:00:00, 2021-04-15, 05:30:38am
Event Created, Timothy, EventID: cb20a4b2-d20a-08a2-0c13-32f27e9fe0c9, EventName: Hoop, EventStart: 2021-04-15T10:00:00, EventEnd: 2021-04-15T13:30:00, 2021-04-15, 05:30:47am
Event Deleted, Timothy, EventID: 59, 2021-04-15, 05:30:52am,,,
Event Created, Timothy, EventID: c7a8723d-fe97-6b54-606d-b87bc834b6ef, EventName: Event, EventStart: 2021-04-15T10:00:00, EventEnd: 2021-04-15T14:00:00, 2021-04-15, 05:35:07am
Logout, Timothy, 2021-04-14, 11:35:14pm,,,,
Login, Wess, 2021-04-14, 11:35:25pm,,,,
Logout, Wess, 2021-04-14, 11:37:04pm,,,,
Login, Timothy, 2021-04-14, 11:37:12pm,,,,
"Event Deleted"," Timothy"," EventID: 57"," 2021-04-15"," 06:00:01am"
"Event Deleted"," Timothy"," EventID: 54"," 2021-04-15"," 06:00:02am"
"Event Created"," Timothy"," EventID: 995710f9-0d6b-6d03-3e06-e08b54ef3092"," EventName: Celebrate Presentation Completion"," EventStart: 2021-04-16T09:30:00"," EventEnd: 2021-04-16T17:30:00"," 2021-04-15"," 06:00:32am"
Login," Wess"," 2021-04-15"," 12:03:02am"
"Event Edit"," Wess"," EventID: 58"," NewEventStart: 2021-04-14T09:30:00"," NewEventEnd: 2021-04-14T17:00:00"," 2021-04-15"," 06:03:11am"
Login," Timothy"," 2021-04-15"," 12:22:43am"
"Event Created"," Timothy"," EventID: bcdcb728-44ec-5ce6-9b51-aa8b6375941a"," EventName: hello"," EventStart: 2021-04-13T10:30:00"," EventEnd: 2021-04-13T17:00:00"," 2021-04-15"," 06:23:35am"
"Event Created"," Timothy"," EventID: a4805826-ffe2-58c5-352e-9b00afecca3a"," EventName: Hello"," EventStart: 2021-04-15T09:30:00"," EventEnd: 2021-04-15T14:30:00"," 2021-04-15"," 06:24:20am"
Logout," Timothy"," 2021-04-15"," 12:24:44am"
Login," Timothy"," 2021-04-15"," 12:24:53am"
"Event Edit"," Timothy"," EventID: 63"," NewEventStart: 2021-04-14T09:30:00"," NewEventEnd: 2021-04-14T14:30:00"," 2021-04-15"," 06:25:01am"
"Event Deleted"," Timothy"," EventID: 63"," 2021-04-15"," 06:25:02am"
"Event Deleted"," Timothy"," EventID: 62"," 2021-04-15"," 06:25:53am"
"Event Deleted"," Timothy"," EventID: 24"," 2021-04-15"," 06:25:59am"
"Event Created"," Timothy"," EventID: 5432d8c8-25ca-5642-e63a-0122b3298221"," EventName: Breakfast"," EventStart: 2021-04-06T08:30:00"," EventEnd: 2021-04-06T10:30:00"," 2021-04-15"," 06:26:55am"
"Event Created"," Timothy"," EventID: 33929609-0dd8-c6e1-a9ad-620d70714f22"," EventName: Team Meeting"," EventStart: 2021-04-15T08:00:00"," EventEnd: 2021-04-15T09:00:00"," 2021-04-15"," 06:27:52am"
"Event Edit"," Timothy"," EventID: 65"," NewEventStart: 2021-04-15T08:00:00"," NewEventEnd: 2021-04-15T09:30:00"," 2021-04-15"," 06:27:57am"
"Event Created"," Timothy"," EventID: f774f209-454f-6df8-c5dd-24e927ffc749"," EventName: Sleep"," EventStart: 2021-04-12T00:00:00"," EventEnd: 2021-04-12T04:00:00"," 2021-04-15"," 06:28:18am"
"Event Created"," Timothy"," EventID: 596c84a6-0fbd-02a3-c4ea-cbf79f458fa0"," EventName: Bio Test"," EventStart: 2021-04-07T10:30:00"," EventEnd: 2021-04-07T14:30:00"," 2021-04-15"," 06:29:20am"
"Event Edit"," Timothy"," EventID: 48"," NewEventStart: 2021-04-15T13:30:00"," NewEventEnd: 2021-04-15T17:00:00"," 2021-04-15"," 06:30:12am"
"Event Created"," Timothy"," EventID: b63ea783-3d82-1ef2-3b1d-f5f60e7d448f"," EventName: Cooking"," EventStart: 2021-04-12T10:00:00"," EventEnd: 2021-04-12T17:00:00"," 2021-04-15"," 06:30:28am"
"Event Created"," Timothy"," EventID: 0c64a45c-9408-8860-d960-8265efc44c9e"," EventName: Cooking"," EventStart: 2021-04-13T10:00:00"," EventEnd: 2021-04-13T17:00:00"," 2021-04-15"," 06:30:43am"
"Event Created"," Timothy"," EventID: a49c839e-6276-9392-e89a-309c2affc876"," EventName: Cooking "," EventStart: 2021-04-15T10:00:00"," EventEnd: 2021-04-15T17:00:00"," 2021-04-15"," 06:30:57am"
"Event Created"," Timothy"," EventID: f4b67c69-d18e-a4c5-4f03-08a54f39d2bf"," EventName: Work"," EventStart: 2021-04-12T09:30:00"," EventEnd: 2021-04-12T17:00:00"," 2021-04-15"," 06:31:20am"
"Event Created"," Timothy"," EventID: fa84e6c0-3116-d39e-35d1-be9da8f6b518"," EventName: Work "," EventStart: 2021-04-14T09:30:00"," EventEnd: 2021-04-14T17:00:00"," 2021-04-15"," 06:31:33am"
"Event Created"," Timothy"," EventID: 3bee9c30-c651-1650-81c4-8b11f28ddefa"," EventName: Work"," EventStart: 2021-04-16T09:30:00"," EventEnd: 2021-04-16T17:00:00"," 2021-04-15"," 06:31:45am"
"Event Created"," Timothy"," EventID: 283387a8-0f06-803c-6373-c3946d18823e"," EventName: Trampoline Park"," EventStart: 2021-04-12T10:00:00"," EventEnd: 2021-04-12T17:00:00"," 2021-04-15"," 06:32:27am"
"Event Created"," Timothy"," EventID: 50380485-67e9-37c5-d2be-87acd48d7f38"," EventName: Spring Break Day"," EventStart: 2021-04-19T05:30:00"," EventEnd: 2021-04-19T14:00:00"," 2021-04-15"," 06:33:31am"
Logout," Timothy"," 2021-04-15"," 12:33:48am"
Login," Timothy"," 2021-04-15"," 12:34:04am"
Logout," Timothy"," 2021-04-15"," 12:34:16am"
Login," Timothy"," 2021-04-15"," 12:34:56am"
Logout," Timothy"," 2021-04-15"," 12:35:05am"
Login," Timothy"," 2021-04-15"," 12:35:27am"
Logout," Timothy"," 2021-04-15"," 12:36:52am"
"Account Created"," tommy1"," 2021-04-15"," 06:37:38am"
Logout," Tommy"," 2021-04-15"," 12:37:49am"
Login," Timothy"," 2021-04-15"," 12:37:56am"
"Event Created"," Timothy"," EventID: dfd11ac1-7a61-679a-eca8-8f3f4307f988"," EventName: Creating Clothes"," EventStart: 2021-04-12T09:00:00"," EventEnd: 2021-04-12T18:00:00"," 2021-04-15"," 06:38:27am"
Logout," Timothy"," 2021-04-15"," 12:38:31am"
Login," Tommy"," 2021-04-15"," 12:38:42am"
Logout," Tommy"," 2021-04-15"," 12:39:13am"
Login," Timothy"," 2021-04-15"," 12:40:18am"
Logout," Timothy"," 2021-04-15"," 12:40:22am"
Login," Timothy"," 2021-04-15"," 12:40:28am"
Logout," Timothy"," 2021-04-15"," 12:40:30am"
Login," Timothy"," 2021-04-15"," 12:41:24am"
Login," Tommy"," 2021-04-15"," 12:43:44am"
Logout," Tommy"," 2021-04-15"," 12:44:16am"
Login," Timothy"," 2021-04-15"," 08:40:03am"
Logout," Timothy"," 2021-04-15"," 08:40:09am"
Login," Timothy"," 2021-04-15"," 08:40:16am"
Logout," Timothy"," 2021-04-15"," 08:44:23am"
Login," Tommy"," 2021-04-15"," 08:44:29am"
Logout," Tommy"," 2021-04-15"," 08:51:20am"
Login," Tommy"," 2021-04-15"," 08:55:23am"
"Clock In Time"," 2021-04-15 08:56:33"," User29"," EventID "
"Clock Out Time"," "," User29"," EventID "
Logout," Tommy"," 2021-04-15"," 08:57:12am"
Login," Timothy"," 2021-04-15"," 08:57:23am"
"Event Deleted"," Timothy"," EventID: 61"," 2021-04-15"," 02:57:56pm"
"Event Created"," Timothy"," EventID: 95447f1a-b0c6-eb33-8bf8-5591c5450a9d"," EventName: Study"," EventStart: 2021-04-14T08:00:00"," EventEnd: 2021-04-14T17:00:00"," 2021-04-15"," 02:58:40pm"
Login," Timothy"," 2021-04-15"," 09:05:07am"
Logout," Timothy"," 2021-04-15"," 09:05:55am"
Login," Timothy"," 2021-04-15"," 09:09:32am"
Login," Timothy"," 2021-04-15"," 09:14:44am"
Logout," Timothy"," 2021-04-15"," 09:14:59am"
"Account Created"," wessb1"," 2021-04-15"," 04:03:45pm"
Logout," Wess"," 2021-04-15"," 10:05:35am"
Login," Timothy"," 2021-04-15"," 10:05:47am"
"Event Edit"," Timothy"," EventID: 65"," NewEventStart: 2021-04-16T08:00:00"," NewEventEnd: 2021-04-16T09:30:00"," 2021-04-15"," 04:05:57pm"
"Event Edit"," Timothy"," EventID: 65"," NewEventStart: 2021-04-15T08:00:00"," NewEventEnd: 2021-04-15T09:30:00"," 2021-04-15"," 04:05:58pm"
"Event Edit"," Timothy"," EventID: 47"," NewEventStart: 2021-04-15T09:30:00"," NewEventEnd: 2021-04-15T12:30:00"," 2021-04-15"," 04:06:00pm"
"Event Created"," Timothy"," EventID: 915e1732-ff29-bc70-cb8c-9fb7e7d4cc27"," EventName: Lunch"," EventStart: 2021-04-15T15:00:00"," EventEnd: 2021-04-15T17:30:00"," 2021-04-15"," 04:07:04pm"
"Event Edit"," Timothy"," EventID: 78"," NewEventStart: 2021-04-15T13:00:00"," NewEventEnd: 2021-04-15T17:30:00"," 2021-04-15"," 04:07:09pm"
"Event Edit"," Timothy"," EventID: 78"," NewEventStart: 2021-04-15T14:30:00"," NewEventEnd: 2021-04-15T17:30:00"," 2021-04-15"," 04:07:11pm"
"Event Edit"," Timothy"," EventID: 78"," NewEventStart: 2021-04-13T12:30:00"," NewEventEnd: 2021-04-13T15:30:00"," 2021-04-15"," 04:07:12pm"
"Event Edit"," Timothy"," EventID: 78"," NewEventStart: 2021-04-15T14:30:00"," NewEventEnd: 2021-04-15T17:30:00"," 2021-04-15"," 04:07:13pm"
"Event Created"," Timothy"," EventID: 760fd042-19cf-55cc-7456-7816cd4e7c2f"," EventName: Meeting"," EventStart: 2021-04-14T11:00:00"," EventEnd: 2021-04-14T14:00:00"," 2021-04-15"," 04:07:33pm"
Logout," Timothy"," 2021-04-15"," 10:08:13am"
Login," Wess"," 2021-04-15"," 10:08:24am"
"Clock In Time"," 2021-04-15 10:08:37"," User30"," EventID 78"
Logout," Wess"," 2021-04-15"," 10:09:35am"
Login," Timothy"," 2021-04-15"," 10:09:42am"
Login," Wess"," 2021-04-15"," 10:20:05am"
Logout," Wess"," 2021-04-15"," 10:20:10am"
"Account Created"," bob1"," 2021-04-15"," 04:20:40pm"
Logout," Bob"," 2021-04-15"," 10:29:01am"
Login," Timothy"," 2021-04-15"," 10:29:07am"
Login," Timothy"," 2021-04-15"," 10:53:31am"
Logout," Timothy"," 2021-04-15"," 10:53:40am"
Login," Timothy"," 2021-04-15"," 10:53:47am"
"Account Created"," wynnt4"," 2021-04-21"," 02:12:15am"
"Clock Out Time"," "," User"," EventID "
"Clock Out Time"," "," User"," EventID "
"Clock Out Time"," "," User"," EventID "
"Clock Out Time"," "," User"," EventID "
"Clock Out Time"," "," User"," EventID "
"Clock Out Time"," "," User"," EventID "
Logout," Tj"," 2021-04-20"," 08:35:45pm"
Login," Tj"," 2021-04-20"," 08:35:52pm"
Logout," Tj"," 2021-04-20"," 08:51:44pm"
Login," Timothy"," 2021-04-20"," 08:51:51pm"
"Event Created"," Timothy"," EventID: 41c8a620-47ea-a2ea-6573-e86472a8a76e"," EventName: Event"," EventStart: 2021-04-20T21:30:00"," EventEnd: 2021-04-21T00:00:00"," 2021-04-21"," 02:52:23am"
Login," Timothy"," 2021-04-21"," 07:59:54pm"
